Split,Athlete In Front,Quarter Time (s),Team Speed (km/h),Delivery Speed (km/h),Event,splitType,endTime,frontRiderIndex,deliveryAdjusted
Q1,Emily,9.18,24.51,24.51,None,QUARTER,23.656462,0,0
Q2,Emily,4.999992,45,45,None,QUARTER,28.656454,0,0
Q3,Emily,4.304944,52.265,52.265,None,QUARTER,32.961398,0,0
Q4,Emily,4.079996,55.147,55.147,None,QUARTER,37.041394,0,0
Q5,Emily,3.899994,57.692,57.692,None,QUARTER,40.941388,0,0
Q6,Emily,3.819996,58.901,58.901,None,QUARTER,44.761384,0,0
Q7,Emily,3.759999,59.84,59.84,None,QUARTER,48.521383,0,0
Q8,Emily,3.739999,60.16,60.16,None,QUARTER,52.261382,0,0
Q9,Emily,3.84,58.594,58.594,Change,QUARTER,56.101382,0,1
Q10,Prue,3.699997,60.811,60.811,None,QUARTER,59.801379,1,0
Q11,Prue,3.679999,61.141,61.141,None,QUARTER,63.481378,1,0
Q12,Prue,3.7,60.811,60.811,None,QUARTER,67.181378,1,0
Q13,Prue,3.66,61.475,61.475,None,QUARTER,70.841378,1,0
Q14,Prue,3.66,61.475,61.475,None,QUARTER,74.501378,1,0
Q15,Prue,3.66,61.475,61.475,None,QUARTER,78.161378,1,0
Q16,Prue,3.679999,61.141,61.141,None,QUARTER,81.841377,1,0
Q17,Prue,3.799999,59.211,59.211,Change,QUARTER,85.641376,1,1
Q18,Bryony,3.699999,60.811,60.811,None,QUARTER,89.341375,2,0
Q19,Bryony,3.679999,61.141,61.141,None,QUARTER,93.021374,2,0
Q20,Bryony,3.7,60.811,60.811,None,QUARTER,96.721374,2,0
Q21,Bryony,3.72,60.484,60.484,None,QUARTER,100.441374,2,0
Q22,Bryony,3.7,60.811,60.811,None,QUARTER,104.141374,2,0
Q23,Bryony,3.72,60.484,60.484,None,QUARTER,107.861374,2,0
Q24,Bryony,3.76,59.84,59.84,None,QUARTER,111.621374,2,0
Q25,Bryony,3.879997,57.99,57.99,Change,QUARTER,115.501371,2,1
Q26,Ally,3.74,60.16,60.16,None,QUARTER,119.241371,3,0
Q27,Ally,3.699999,60.811,60.811,None,QUARTER,122.94137,3,0
Q28,Ally,3.68,61.141,61.141,None,QUARTER,126.62137,3,0
Q29,Ally,3.699999,60.811,60.811,None,QUARTER,130.321369,3,0
Q30,Ally,3.7,60.811,60.811,None,QUARTER,134.021369,3,0
